City,Tier,College Name,Location,Placement Officer Name,Designation,Phone,Email,Alternate Contact,Website,Verification Status
Chennai,Tier 3,Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College,"Avadi, Chennai",Placement Cell,Training & Placement,"+91 7358701998, 044-26840181",info@velhightech.com,+91 7358020151,https://velhightech.com,General Office
Chennai,Tier 3,St. Joseph's Institute of Technology,"OMR, Chennai",Dr. B. Diwan,Dean - Career Development Centre,+91 9944987560,placement@stjosephs.ac.in,Same St. Joseph's Group CDC,https://stjosephstechnology.ac.in,Verified
Chennai,Tier 3,Panimalar Institute of Technology,"Poonamallee, Chennai",Prof. N. Viswanathan,Head - Training & Placement,044-26274665,placement@panimalar.ac.in,Panimalar group placement,https://www.pit.ac.in,Verified
Chennai,Tier 3,RMK College of Engineering and Technology,"Puduvoyal, Chennai",Dr. K.K. Sivagnana Prabhu,Head - Training & Corporate Affairs,+91 8883033336,placement@rmkec.ac.in,RMK Institutions placement cell,https://www.rmkcet.ac.in,Verified
Chennai,Tier 3,RMD Engineering College,"Kavaraipettai, Chennai",Dr. K.K. Sivagnana Prabhu,Head - Training & Corporate Affairs,044-67906755,placement@rmkec.ac.in,RMK group placement,https://www.rmd.ac.in,Verified
Chennai,Tier 3,Jerusalem College of Engineering,"Pallikaranai, Chennai",Placement Cell,Training & Placement,044-22460000,info@jerusalemengg.ac.in,Contact college for TPO,https://www.jerusalemengg.ac.in,General Office
Chennai,Tier 3,Meenakshi Sundararajan Engineering College,"Kodambakkam, Chennai",Placement Cell,Training & Placement,044-24732482,info@msec.edu.in,Contact college for TPO,https://www.msec.edu.in,General Office
Chennai,Tier 3,Dhanalakshmi College of Engineering,"Manimangalam, Chennai",Placement Cell,Training & Placement,044-27178333,info@dce.edu.in,Contact college for TPO,https://www.dce.edu.in,General Office
Chennai,Tier 3,Alpha College of Engineering,"Thirumazhisai, Chennai",Placement Cell,Training & Placement,044-26811515,info@alphagroup.edu,Contact college for TPO,https://www.alphagroup.edu,General Office
Chennai,Tier 3,Loyola-ICAM College of Engineering and Technology (LICET),"Nungambakkam, Chennai",Placement Cell,Career Development Cell,044-28178490,placement@licet.ac.in,info@licet.ac.in,https://www.licet.ac.in,General Office
Chennai,Tier 3,Sri Muthukumaran Institute of Technology,"Chikkarayapuram, Chennai",Placement Cell,Training & Placement,044-24780000,info@smit.ac.in,Contact college for TPO,https://www.smit.ac.in,General Office
Chennai,Tier 3,Misrimal Navajee Munoth Jain Engineering College,"Thoraipakkam, Chennai",Placement Cell,Training & Placement,044-24960101,info@mnmjec.ac.in,Contact college for TPO,https://www.mnmjec.ac.in,General Office
Chennai,Tier 3,Tagore Engineering College,"Vandalur, Chennai",Placement Cell,Training & Placement,044-22797000,info@tagore.edu.in,Contact college for TPO,https://www.tagore.edu.in,General Office
Chennai,Tier 3,Madha Engineering College,"Kundrathur, Chennai",Placement Cell,Training & Placement,044-24780000,info@madhaengineeringcollege.com,Contact college for TPO,https://www.madhaengineeringcollege.com,General Office
Chennai,Tier 3,Kings Engineering College,"Sriperumbudur, Chennai",Placement Cell,Training & Placement,044-27150000,info@kingsindia.net,Contact college for TPO,https://www.kingsindia.net,General Office
Chennai,Tier 3,GKM College of Engineering and Technology,"Mappedu, Chennai",Placement Cell,Training & Placement,044-22780000,info@gkmgroup.in,Contact college for TPO,https://www.gkmgroup.in,General Office
Chennai,Tier 3,Sree Sastha Institute of Engineering and Technology,"Chembarambakkam, Chennai",Placement Cell,Training & Placement,044-26811500,info@sastha.ac.in,Contact college for TPO,https://www.sastha.ac.in,General Office
Chennai,Tier 3,Adhi College of Engineering and Technology,Kanchipuram (Chennai region),Placement Cell,Training & Placement,044-27260000,info@adhi.edu.in,Contact college for TPO,https://www.adhi.edu.in,General Office
Chennai,Tier 3,Aalim Muhammed Salegh College of Engineering,"Avadi, Chennai",Placement Cell,Training & Placement,044-26555431,info@aalimec.ac.in,Contact college for TPO,https://www.aalimec.ac.in,General Office
Chennai,Tier 3,Dr. M.G.R. Educational and Research Institute,"Maduravoyal, Chennai",Placement Cell,Career Development Centre,044-23782176,placement@drmgrdu.ac.in,info@drmgrdu.ac.in,https://www.drmgrdu.ac.in,General Office
Chennai,Tier 3,"Vels Institute of Science, Technology & Advanced Studies (VISTAS)","Pallavaram, Chennai",Placement Cell,Training & Placement,044-22662500,placement@velsuniv.ac.in,info@velsuniv.ac.in,https://www.velsuniv.ac.in,General Office
Chennai,Tier 3,Saveetha School of Engineering (SIMATS),"Thandalam, Chennai",Placement Cell,Training & Placement,044-66726666,info@saveetha.ac.in,Saveetha group placement,https://www.saveetha.ac.in,General Office
Chennai,Tier 3,Hindustan College of Engineering,"Padur, Chennai",Mr. S. Arivazhagan,Head - Placement,+91 8825892154,placement@hindustanuniv.ac.in,HITS group placement,https://hindustanuniv.ac.in,Verified
Chennai,Tier 3,Sri Sai Ram Institute of Technology - MBA,"West Tambaram, Chennai",Dr. L. Arunachalam,Dean - Training & Placement,+91 9677054441,dean.tap@sairam.edu.in,sairamplacement@sairam.edu.in,https://sairamit.edu.in,Verified
Chennai,Tier 3,Rajalakshmi Engineering College - MBA,"Thandalam, Chennai",Mr. I. Philip Praveen,Director - Training and Placement,+91 9381436664,placement@rajalakshmi.edu.in,044-67181015,https://www.rajalakshmi.edu.in,Verified
Chennai,Tier 3,SSN School of Management,"Kalavakkam, Chennai",Placement Manager,Career Development Centre,+91 7338845102,placement@ssn.edu.in,SSN CDC,https://www.ssn.edu.in,Verified
Chennai,Tier 3,SRM IST Vadapalani,"Vadapalani, Chennai",Placement Cell,Career Centre,044-43969999,placement@srmist.edu.in,SRMIST central placement,https://www.srmist.edu.in,General Office
Chennai,Tier 3,Velammal Institute of Technology,"Panchetti, Chennai",Mr. A. Arun Ramaswami,Head - Training & Placement,+91 9940127839,placement@velammal.edu.in,Velammal group placement,https://www.velammalitech.edu.in,Verified
Chennai,Tier 3,KCG College of Technology - MBA,"Karapakkam, Chennai",Dr. Chandramohan R,Dean - Industry Partnership,+91 9677851471,placement@kcgcollege.com,044-28389001,https://kcgcollege.ac.in,Verified
Chennai,Tier 3,Crescent Institute - MBA,"Vandalur, Chennai",Dr. G. Arunachalam,Joint Director - CDC & IR,+91 9962666506,placement@crescent.education,arunachalam@crescent.education,https://crescent.education,Verified
Chennai,Tier 3,Sathyabama - MBA,"Jeppiaar Nagar, Chennai",Dr. E. John Bruce,Director - Placement & Corporate Affairs,044-24503810,dean.placement@sathyabama.ac.in,johnbruce@sathyabama.ac.in,https://www.sathyabama.ac.in,Verified
Chennai,Tier 3,VIT Chennai - MBA,"Vandalur-Kelambakkam, Chennai",CDC Office,Career Development Centre,044-39931555,chennai.pat@vit.ac.in,patqueries.chennai@vit.ac.in,https://chennai.vit.ac.in/placements,Verified
Chennai,Tier 3,Panimalar Engineering College - MBA,"Poonamallee, Chennai",Prof. N. Viswanathan,Head - Training & Placement,044-26274665,placement@panimalar.ac.in,Dr. D. Chitra (MBA Dept Coordinator),https://panimalar.ac.in,Verified
Chennai,Tier 3,St. Joseph's College of Engineering - MBA,"OMR, Chennai",Dr. B. Diwan,Dean - CDC,+91 9944987560,placement@stjosephs.ac.in,+91 9443782867,https://stjosephs.ac.in,Verified
